,"New & Change in May 1, 2026",,,,,,
,New Products,,,,,,
,,,,,,,
,Category,Item #,Item Type,Notes,Description, MSRP  ,EAN Code
,Camera - Network,XNB-A6004,2MP Box AI Camera, ,"Powered by WN9, Box Camera, 2MP resolution @ 60FPS, H.265/H.264/MJPEG codec, USB-C port for easy installation, Selectable microphone input (mic in/line in/built-in), Day & Night (ICR), extremeWDR (150dB), DIS with built-in gyro sensor, Handover, AI-based WiseStream, WiseNR Ⅱ (using AI engine), Dynamic privacy mask, IVA events based on AI engine (Motion & Object detection, Line crossing, IVA area, Slip & Fall, Sound classification), Classified object types (Person/Face/Vehicle/License plate), Object attributes (Person: Gender/Top/Bottom clothing color/Bag, Face: Age/Gender/Mask/Glasses, Vehicle: type/color), BestShot, Analytics events (Defocus, Motion, Tampering, Fog, Audio & Shock detection), AI-based business intelligence (People/Vehicle/Crowd counting, Queue management, Heatmap), Secure element with FIPS 140-3 level3, Built-in microSD card slots (Up to 1TBx2), Operating temperature: -10°C~+55°C (14°F~+131°F), Power: PoE, 12VDC, Metal shielded RJ-45. OnCloud Compatible.", $900.00 ,8801089236579 
,Lens,SLA-F2480DA,"5MP, Door Jamb with 2.45mm Lens (black)",Compatible with PNM-C20000QB,"5MP, Door Jamb Head with 2.45mm lens module, FoV (H:123°, V:91°), Compatible with PNM-C20000QB, 8m (26ft) cable included, Black color, Indoor", $324.00 ,8801089238825 
,Lens,SLA-F2480DSA,"5MP, Door Jamb with 2.45mm Lens (silver)",Compatible with PNM-C20000QB,"5MP, Door Jamb Head with 2.45mm lens module, FoV (H:123°, V:91°), Compatible with PNM-C20000QB, 8m (26ft) cable included, Silver color, Indoor", $324.00 ,8801089238818 
,Lens,SLA-F2480HA,"5MP, Height Strip with 2.45mm Lens ",Compatible with PNM-C20000QB,"5MP, Height Strip with 2.45mm lens module, FoV (H:123°, V:91°), Compatible with PNM-C20000QB, 8m (26ft) cable included, Indoor", $654.00 ,8801089238849 
,Accessory,SPP-C1200M,Cable,,"RJ45-M12 Cable compatible with XNF-A9014RV, XNF-A8014RV (Pack of 5)", $200.00 ,8801089249128 
,Accessory,SPB-VAN850W,Smoked Dome Cover,,"Smoked Dome Cover compatible with XNV-A9085R, XNV-A8085R", $80.00 ,8801089248947 
,Accessory,SPB-IND850W,Smoked Dome Cover,,"Smoked Dome Cover compatible with XND-A9085RV, XND-A8085RV", $75.00 ,8801089248909 
,Camera - Network,TNO-X6074EPT1-Z,Explosion Proof Fixed Camera (L),"90 Days Lead Time
15% Cancellation fee","Explosion proof camera using XNB-A6004 Powered by WN9, Box Camera, 2MP resolution @ 60FPS, 2.8-9mm lens, H.265/H.264/MJPEG codec, AI-based WiseStream, WiseNR Ⅱ (using AI engine), Dynamic privacy mask, IVA events based on AI engine (Motion & Object detection, Line crossing, IVA area, Slip & Fall), Classified object types (Person/Face/Vehicle/License plate), Object attributes (Person: Gender/Top/Bottom clothing color/Bag, Face: Age/Gender/Mask/Glasses, Vehicle: type/color), BestShot, Analytics events (Defocus, Motion, Tampering, Fog, Audio & Shock detection), AI-based business intelligence (People/Vehicle/Crowd counting, Queue management, Heatmap) PoE camera only, 90W total with Heater (No Wiper), -50°C ~ +55°C (-58°F ~ +131°F), Type 4x, IP66, FM (Factory Mutual), C1/D1 certification"," $9,170.00 ",849688026212 
,Expansion Panel,NOP-RI4S,Downstream Reader Interface for NOP series, ,"A downstream reader-interface panel supporting (4) Wiegand/OSDP reader ports, (12) High Precision Supervised alarm inputs, (2) Unsupervised Dedicated Inputs, and (8) Form-C relay outputs. (1) Serial Port with communication with NOP Series IC controllers ensures encrypted data transfer, offline event buffering, and advanced access control abilities; power input: 12-24VDC in an enclosure-mount form factor."," $1,650.00 ",849688025055 
,Reader Accessory,NOC-AXPGTL,Pig Tail Accessory for Wavelynx Readers, ,A Wavelynx Apex reader accessory that converts terminal block-connected readers to a weather-sealed pigtail configuration, $19.00 ,849688026205 
,,,,,,,
,,,,,,,
,,,,,,,
,Changes (Highlighted in light blue),,,,,,
,,,,,,,
,Category,Item #,Item Type,Notes,Description, MSRP  ,EAN Code
,Camera - Network,XNP-6400RW,"2MP IR, Wiper PTZ","Limited Stock
Recommended replacement
XNP-C6403RW","Powered by WN7, 2MP @ 60FPS resolution, 4.25mm~170mm (40x) lens, build in wiper and Wise IR (200m),  extreme WDR 150dB, Day & Night ICR, H.265, H.264, MJPEG codec support, Intelligent Analytics, Object auto tracking(Person/Vehicle), Target lock track, BLC, HLC, SSDR, lens heater for water/snow removal, built-in SD card slot (2x512GB), IP66, IK10(Camera body only), NEMA4X, NEMA-TS 2(2.2.7, 2.2.8, 2.2.9), PoE++/HPoE injector included, Operating Temperature -40°C~+55°C(-40°F ~ +131°F), (Compatible with I/O Box SPM-4210)
"," $3,900.00 ",8801089192059
,Switch,HV-PWR800 V2-10,Power Supply for X530DP and X930 series,4 Weeks Lead Time,800W AC Hot Swappable Power Supply for X530DP and X930 series switches. US Power cord. Optimized to use with Hanwha network camera products," $4,000.00 ",90849688023788 
,Camera - Network,TNO-X6073EPT1-Z,Explosion Proof Fixed Camera (L),"Limited Stock
90 Days Lead Time
15% Cancellation fee
Recommended replacement TNO-X6074EPT1-Z","2MP Explosion proof camera using the XNB-6000 (2MP @ 60fps) 2.8-9mm lens, PoE+ Only (No Wiper), -50°C ~ +55°C (-58°F ~ +131°F), Type 4x, IP66, FM (Factory Mutual), C1/D1 certification"," $9,120.00 ",849688024300 
,PVM,SMT-1030PV,"10"" PVM monitor (Black)","Limited Stock
Replacement SMT-1031PV","10"" IP public view monitor,1080p (1920x1080), HDMI, VGA, Ethernet, 16:9 aspect ratio, Built-in speaker (2x2 W), VESA mountable (75 x 75mm), black casing, face detection display for visual deterrent, 2MP IP camera built-in, 4.6mm fixed lens(73.8°H), 150dB WDR, H.265/H.264/MJPEG, slide show & live video, power supply included (12VDC) or PoE+ powered"," $1,000.00 ",8801089191656 
,Lens,SLA-C-E70200,Canon EF 70-200mm f/2.8L IS III USM (L),"Limited Stock
No Replacement","Canon 70-200mm f2.8L, Auto-Iris, Vari Focal (EF 70–200mm f/2.8L USM) : Horizontal field of view: 8K 23.2° ~ 8.3° ,  CarePak 4 Years Warranty"," $5,450.00 ",849688014878 
,Lens,SLA-C-E24,Canon EF 24mm f/1.4L II USM (L),"Limited Stock
No Replacement","Canon 24mm f1.4L, Auto-Iris (EF 24mm f/1.4L II USM) : Horizontal field of view: 8K 62.1°, CarePak 4 Years warranty"," $5,025.00 ",849688014830 
,Recording - Network,XRN-6420B2-8TB,64 CH NVR," 
Price increase from $5,134.00 to $5,414.00","8K NVR (Intel based), 64Ch, 8TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), P2P QR Code."," $5,414.00 ",849688023532 
,Recording - Network,XRN-6420B2-10TB,64 CH NVR," 
Price increase from $5,374.00 to $5,724.00","8K NVR (Intel based), 64Ch, 10TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), P2P QR Code."," $5,724.00 ",849688023549 
,Recording - Network,XRN-6420B2-16TB,64 CH NVR," 
Price increase from $6,094.00 to $6,654.00","8K NVR (Intel based), 64Ch, 16TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), P2P QR Code."," $6,654.00 ",849688023556 
